rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
0,-0.9847999811172485,59.2848014831543,19369.830231481483,8.094,0,AA,3
1,-0.6563000082969666,59.2848014831543,19369.882118055557,7.567,0,AA,5
2,-0.3617999851703644,59.2848014831543,19369.925960648146,7.359,0,AA,6
3,0.006500000134110451,59.281700134277344,19369.97979166667,7.48,0,AA,8
4,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,0,AA,10
5,0.6779999732971191,59.28379821777344,19370.08986111111,7.622,0,AA,12
6,1.003499984741211,59.28219985961914,19370.14857638889,7.462,0,AA,14
7,1.3131999969482422,59.28219985961914,19370.195069444442,7.234,0,AA,17
8,1.6562999486923218,59.28379821777344,19370.253969907408,7.243,0,AA,19
9,2.012500047683716,59.284000396728516,19370.392291666667,7.192,0,AA,21
10,2.246999979019165,59.28450012207031,19370.426342592593,7.178,0,AA,23
11,2.5167999267578125,59.28200149536133,19370.515162037038,7.07,0,AA,27
12,2.751300096511841,59.28369903564453,19370.551828703705,6.953,0,AA,29
13,2.9019999504089355,59.28269958496094,19370.590659722224,7.595,0,AA,32
14,3.074199914932251,59.28730010986328,19370.61494212963,7.132000000000001,0,AA,35
15,3.227299928665161,59.28300094604492,19370.676157407408,6.963,0,AA,38
16,3.3631999492645264,59.28350067138672,19371.464363425926,8.265,0,AA,39
17,3.5336999893188477,59.283199310302734,19371.497337962963,7.285,0,AA,41
18,3.682499885559082,59.28300094604492,19371.52736111111,6.516,0,AA,44
19,3.849299907684326,59.28620147705078,19371.559618055555,6.378,0,AA,45
20,4.032700061798096,59.28919982910156,19371.591944444444,6.627,0,AA,48
21,4.18120002746582,59.288299560546875,19371.617962962962,6.142,0,AA,51
22,4.333799839019775,59.284698486328125,19371.64386574074,6.048,0,AA,53
23,4.499199867248535,59.283199310302734,19371.673298611113,5.922,0,AA,55
24,4.668000221252441,59.28329849243164,19371.703530092593,5.93,0,AA,57
25,4.822000026702881,59.2843017578125,19371.734791666666,6.148,0,AA,59
26,4.933800220489502,59.28269958496094,19371.760925925926,6.063,0,AA,60
27,5.031199932098389,59.284000396728516,19371.781817129628,5.892,0,AA,61
28,8.084500312805176,58.050498962402344,19376.166469907406,7.182,0,AA,77
29,8.101200103759766,57.98379898071289,19376.192916666667,5.968,0,AA,78
30,8.163200378417969,57.91579818725586,19376.223819444444,6.287,0,AA,79
31,8.200200080871582,57.85129928588867,19376.253159722222,6.049,0,AA,80
32,8.284000396728516,57.73529815673828,19376.301064814816,5.976,0,AA,81
33,8.336199760437012,57.64970016479492,19376.334976851853,4.727,0,AA,82
34,8.38070011138916,57.54679870605469,19376.374386574073,4.269,0,AA,83
35,8.4197998046875,57.481998443603516,19376.398229166665,4.561,0,AA,84
36,8.46780014038086,57.39870071411133,19376.426550925924,5.158,0,AA,85
37,8.503800392150879,57.316001892089844,19376.455439814814,4.789,0,AA,86
38,8.555800437927246,57.23400115966797,19376.483784722222,3.786,0,AA,87
39,7.682700157165527,57.40250015258789,19376.739988425925,6.266,0,AA,75
40,7.952499866485596,57.00149917602539,19376.915925925925,4.86,0,AA,76
41,7.653500080108643,57.00279998779297,19376.977465277778,5.3340000000000005,0,AA,74
42,7.353799819946289,56.99980163574219,19377.032824074075,5.514,0,AA,73
43,6.997499942779541,57.00170135498047,19377.09681712963,5.734,0,AA,72
44,6.6717000007629395,57.00130081176758,19377.162685185187,6.2940000000000005,0,AA,71
45,6.337699890136719,57.00019836425781,19377.228668981483,5.992,0,AA,70
46,6.004799842834473,56.999298095703125,19377.295995370372,6.117,0,AA,67
47,5.832200050354004,56.88169860839844,19377.347905092593,6.389,0,AA,66
48,6.254300117492676,56.676300048828125,19377.525902777776,5.738,0,AA,69
49,5.768700122833252,56.779300689697266,19377.631041666667,6.1160000000000005,0,AA,65
50,5.6682000160217285,57.00130081176758,19377.76125,6.03,0,AA,63
51,5.195499897003174,56.99879837036133,19377.8665625,6.142,0,AA,62
52,6.117300033569336,57.18479919433594,19378.303946759257,6.091,0,AA,68
53,5.738699913024902,57.22600173950195,19378.41138888889,5.907,0,AA,64
54,4.645699977874756,57.838199615478516,19378.69883101852,7.223,0,AA,56
55,4.697500228881836,57.000701904296875,19379.247222222224,6.15,0,AA,58
56,4.492199897766113,57.13019943237305,19379.302511574075,6.034,0,AA,54
